"seqno","market","sales","profit","sector","emp","avgsal","avgtenure","kospi","kosdaq"
108,"kospi",3559.004,120.612,"Chem",2521,68.346,12.04,1,0
109,"kospi",278.463,31.169,"Chem",122,68.071,13.09,1,0
110,"kospi",7074.626,230.444,"Steel",1545,68.003,8.07,1,0
111,"kospi",8180.27,159.399,"Constr",5192,67.968,8.07,1,0
112,"kospi",109.953,12.093,"TranspEquip",357,67.968,16,1,0
113,"kospi",906.317,4.093,"TranspEquip",714,67.77,15.07,1,0
114,"kospi",10433.442,347.019,"Constr",7335,67.767,9.09,1,0
115,"kospi",1006.609,117.888,"Constr",5131,67.701,15.04,1,0
116,"kospi",2637.612,768.438,"Food",4313,67.263,15.1,1,0
117,"kospi",2600,153.056,"ElecGas",1335,67.157,12.02,1,0
118,"kosdaq",54.192,2.428,"Pharm",65,67.092,14.05,0,1
119,"kosdaq",100.053,7.802,"Machinary",57,67,4.05,0,1
120,"kospi",39.331,3277.158,"Service",152,67,6.05,1,0
121,"kospi",4762.746,130.71,"Finance",2507,66.912,8.07,1,0
122,"kospi",410.609,24.673,"Chem",74,66.81,15,1,0
123,"kospi",987.04,18.485,"Steel",688,66.533,20.04,1,0
124,"kosdaq",16.301,-5.397,"ElecElectron",88,66.472,3.06,0,1
125,"kosdaq",527.046,3.122,"TranspEquip",613,66.261,16.04,0,1
126,"kospi",424.322,13.588,"TranspEquip",636,66.221,13.06,1,0
127,"kosdaq",123.896,4.936,"Service",641,66.168,12.03,0,1
128,"kospi",348.828,17.172,"Finance",2298,66,9.09,1,0
129,"kosdaq",93.256,2.359,"ElecElectron",60,66,5.06,0,1
130,"kosdaq",117.722,3.833,"ElecGas",57,65.94,8.08,0,1
131,"kospi",793.344,42.796,"TranspEquip",920,65.555,14.01,1,0
132,"kosdaq",126.501,3.348,"ElecElectron",143,65.537,3.05,0,1
133,"kospi",664.648,34.553,"Pharm",1309,65.484,6.03,1,0
134,"kospi",13.727,10.147,"Service",11,65.456,9.03,1,0
135,"kosdaq",168.287,51.07,"ElecElectron",111,65.38,3.03,0,1
136,"kospi",9006.378,1120.552,"Finance",11356,65.186,15.1,1,0
137,"kospi",5638.069,50.612,"Warehouse",9595,65.075,9.05,1,0
138,"kospi",180.207,-17.649,"Chem",347,65.065,8.04,1,0
139,"kospi",9095.887,343.036,"Chem",2431,65.031,13.04,1,0
140,"kospi",406.967,24.978,"Finance",2624,65,7.01,1,0
141,"kospi",956.646,-19.241,"Chem",345,64.897,21.02,1,0
142,"kospi",616.563,408.12,"Service",96,64.661,3,1,0
143,"kospi",760.489,103.969,"Distn",388,64.631,7.08,1,0
144,"kospi",10174.597,-700.807,"Warehouse",1875,64.613,9.02,1,0
145,"kospi",694.171,-2.642,"Constr",400,64.588,14.02,1,0
146,"kospi",4.789,-2.767,"Service",14,64.571,3.06,1,0
147,"kospi",529.509,-91.744,"Constr",577,64.244,15.07,1,0
148,"kospi",783.367,24.215,"ElecGas",244,64.055,12.07,1,0
149,"kospi",168.342,96.616,"Service",27,64,4.03,1,0
150,"kospi",10904.831,-62.584,"ElecGas",6486,64,6.06,1,0
151,"kospi",25427.205,-354.76,"ElecElectron",36376,64,8.03,1,0
152,"kosdaq",20.88,-2.24,"Distn",54,63.762,5.06,0,1
153,"kosdaq",74.031,0.703,"ElecElectron",260,63.722,5.05,0,1
154,"kospi",2229.066,-614.847,"Constr",1829,63.702,9.04,1,0
155,"kospi",60.607,5.225,"Service",40,63.619,3.02,1,0
156,"kospi",5469.2,498.073,"ElecElectron",11940,63.55,9.01,1,0
157,"kospi",37.398,0.224,"Service",40,63.375,3,1,0
158,"kosdaq",71.227,12.846,"ElecElectron",79,63.12,6.03,0,1
159,"kospi",853.499,-47.444,"Steel",357,63,12.05,1,0
160,"kospi",572.103,23.19,"Warehouse",790,62.987,14.04,1,0
161,"kospi",1674.527,127.731,"Food",3446,62.889,12,1,0
162,"kospi",745.924,11.226,"Steel",460,62.68,19.03,1,0
163,"kospi",722.342,9.581,"ElecGas",190,62.621,13.02,1,0
164,"kosdaq",76.764,8.655,"ElecElectron",217,62.516,2.05,0,1
165,"kospi",3010.341,749.875,"Finance",3202,62.463,9.01,1,0
166,"kosdaq",1292.356,78.554,"NonMetal",1358,62.434,14,0,1
167,"kospi",479.315,138.445,"Finance",1848,62.254,5.08,1,0
168,"kospi",20442.79,1440.317,"Chem",11683,62.185,10.07,1,0
169,"kosdaq",29.039,-15.752,"ElecElectron",123,62.174,4.06,0,1
170,"kospi",107.952,100.053,"Service",48,62,3.09,1,0
171,"kospi",18863.237,719.352,"ElecGas",32186,62,19.06,1,0
172,"kospi",9272.885,406.094,"Warehouse",734,61.994,4,1,0
173,"kosdaq",2486.317,26.412,"Service",1440,61.928,9.09,0,1
174,"kosdaq",100.491,5.523,"ElecElectron",65,61.794,3.1,0,1
175,"kosdaq",183.473,9.411,"Service",180,61.784,6.05,0,1
176,"kospi",2073.996,43.109,"Chem",2759,61.78,15.03,1,0
177,"kospi",915.62,-41.415,"Machinary",1308,61.669,13,1,0
178,"kospi",1312.355,21.925,"Food",829,61.631,17.03,1,0
179,"kospi",839.335,-71.851,"NonMetal",634,61.514,14.1,1,0
180,"kospi",291.558,-9.053,"Chem",102,61.496,18.07,1,0
181,"kospi",5741.248,240.941,"Chem",5100,61.46,7.08,1,0
182,"kospi",1468.835,-24.915,"Chem",398,61.443,16.05,1,0
183,"kospi",2207.251,9.759,"Constr",1724,61.395,9.08,1,0
184,"kosdaq",588.447,3.779,"Service",900,61.303,2.07,0,1
185,"kosdaq",47.133,4.671,"ElecElectron",103,61.249,4.01,0,1
186,"kospi",282.716,-8.719,"Service",1994,61.228,6,1,0
187,"kospi",263.863,22.538,"PaperWood",172,61.171,19.06,1,0
188,"kospi",54.869,196.097,"Service",9,61.111,11.04,1,0
189,"kosdaq",461.761,53.271,"ElecElectron",524,61.04,11.01,0,1
190,"kosdaq",54.579,3.462,"ElecElectron",124,61,5,0,1
191,"kospi",846.33,97.869,"ElecElectron",818,60.975,14.07,1,0
192,"kosdaq",472.259,41.865,"ElecElectron",394,60.919,2.07,0,1
193,"kosdaq",401.799,58.294,"Service",1235,60.887,8.09,0,1
194,"kosdaq",185.016,23.839,"PaperWood",179,60.688,2.09,0,1
195,"kosdaq",695.595,8.833,"Constr",738,60.656,4.01,0,1
196,"kospi",1841.081,80.923,"Service",3363,60.57,8.02,1,0
197,"kosdaq",480.892,68.34,"Machinary",734,60.376,7.05,0,1
198,"kospi",418.332,-373.661,"Constr",296,60.255,13.11,1,0
199,"kospi",298.399,11.542,"TranspEquip",706,60.173,17.01,1,0
200,"kospi",12263.867,259.597,"Warehouse",18374,60.132,13.08,1,0
201,"kospi",104.376,69.12,"Service",56,60,7.06,1,0
202,"kospi",1292.896,296.504,"Service",3184,59.976,8.03,1,0
203,"kosdaq",1604.918,-411.455,"Constr",1266,59.969,11.02,0,1
204,"kospi",506.152,-35.198,"Constr",321,59.909,13,1,0
205,"kospi",2341.407,85.192,"Steel",3426,59.684,19.02,1,0
206,"kospi",3399.29,-631.62,"TranspEquip",2996,59.565,7.05,1,0
207,"kospi",168.865,27.272,"Finance",447,59.508,14.01,1,0
208,"kosdaq",70.35,1.591,"ElecElectron",169,59.272,3.07,0,1
209,"kospi",4717.179,71.81,"Distn",361,59.271,6.02,1,0
210,"kospi",1283.896,48.723,"Chem",905,59.062,18.04,1,0
211,"kosdaq",86.57,9.057,"Finance",437,59,2.11,0,1
212,"kospi",4042.724,136.035,"Finance",869,58.986,8.07,1,0
213,"kosdaq",232.747,-5.425,"Service",236,58.852,9.04,0,1
214,"kospi",349.865,45.874,"Service",162,58.849,11.09,1,0
215,"kosdaq",878.26,9.359,"ElecElectron",701,58.782,2.08,0,1
216,"kospi",92.403,3.814,"NonMetal",270,58.767,12.04,1,0
217,"kospi",57.892,4.844,"MedPrec",167,58.74,6.08,1,0
218,"kospi",1873.505,-225.934,"Constr",1861,58.733,8.11,1,0
219,"kospi",4926.649,596.362,"Steel",1113,58.634,12.07,1,0
220,"kospi",40.715,-215.618,"Service",15,58.613,10.07,1,0
221,"kospi",379.636,23.462,"Food",370,58.541,14.07,1,0
222,"kospi",2863.806,-106.069,"TranspEquip",4365,58.525,16.01,1,0
223,"kospi",4103.326,130.707,"Chem",3610,58.442,8.05,1,0
224,"kosdaq",40.921,5.465,"Machinary",125,58.432,7.07,0,1
225,"kospi",296.778,-39.347,"NonMetal",388,58.258,20,1,0
226,"kospi",171.018,43.516,"PaperWood",273,58.189,17,1,0
227,"kospi",150.611,10.536,"Finance",1031,58.047,8,1,0
228,"kosdaq",100.791,14.836,"Machinary",202,57.955,3.05,0,1
229,"kospi",649.614,18.146,"Steel",298,57.933,10.08,1,0
230,"kosdaq",68.9,7.952,"Constr",64,57.844,21.02,0,1
231,"kospi",17011.373,306.041,"Distn",1991,57.777,8.05,1,0
232,"kospi",1.597,2.259,"Service",2,57.776,1.03,1,0
233,"kosdaq",96.123,4.322,"Machinary",237,57.72,8.02,0,1
234,"kospi",229.253,9.825,"Machinary",329,57.688,11.06,1,0
235,"kospi",473.786,2.458,"Machinary",807,57.618,17.02,1,0
236,"kospi",3352.643,40.211,"ElecGas",788,57.611,10.1,1,0
237,"kospi",10001.783,-489.99,"ElecElectron",20560,57.588,8.05,1,0
238,"kosdaq",503.206,24.791,"TranspEquip",472,57.413,15.03,0,1
239,"kosdaq",150.596,9.89,"PaperWood",208,57.341,13.07,0,1
240,"kosdaq",108.574,4.707,"Service",285,57.326,6.04,0,1
241,"kospi",1912.944,55.408,"Steel",879,57.216,15.04,1,0
242,"kospi",233.549,2.357,"PaperWood",211,57.161,14.06,1,0
243,"kospi",477.366,-30.068,"PaperWood",211,57.161,14.06,1,0
244,"kospi",109.966,12.778,"Warehouse",191,57.05,6.02,1,0
245,"kosdaq",19.285,3.025,"Service",103,57,5.02,0,1
246,"kospi",464.532,34.041,"ElecElectron",650,56.968,8.02,1,0
247,"kosdaq",1017.662,40.089,"Service",2541,56.878,10.01,0,1
248,"kosdaq",150.576,5.35,"ElecElectron",158,56.878,6.06,0,1
249,"kospi",1056.682,2.581,"Constr",956,56.834,8.04,1,0
250,"kospi",65.506,-1.318,"Pharm",354,56.675,6.1,1,0
251,"kospi",229.63,58.181,"Finance",512,56.638,3.08,1,0
252,"kospi",422.085,25.334,"Food",341,56.622,12.06,1,0
253,"kospi",440.568,4.206,"Steel",319,56.592,16.09,1,0
254,"kospi",4010.494,23.071,"Finance",2812,56.305,12,1,0
255,"kospi",99.979,16.077,"Service",364,56.244,18.01,1,0
256,"kospi",62.268,6.119,"Service",206,56.234,4.05,1,0
257,"kospi",9284.878,192.424,"Chem",7932,56.197,10.09,1,0
258,"kospi",8530.989,119.134,"Constr",6647,56.179,6.08,1,0
259,"kospi",142.976,-199.532,"ElecElectron",384,56.016,2.07,1,0
260,"kospi",1651.123,100.886,"ElecElectron",3338,55.972,13,1,0
261,"kospi",403.985,1.161,"Chem",232,55.965,7.04,1,0
262,"kospi",1026.101,222.748,"Distn",1586,55.91,7,1,0
263,"kospi",393.48,-293.333,"Constr",379,55.864,9.05,1,0
264,"kosdaq",26.662,0.628,"Machinary",78,55.744,6.04,0,1
265,"kospi",2409.028,52.48,"Chem",2793,55.679,10.03,1,0
266,"kospi",1033.404,2.699,"Chem",1102,55.679,12.08,1,0
267,"kospi",4969.375,-225.167,"Steel",1850,55.672,12.05,1,0
268,"kosdaq",8.542,0.683,"Service",34,55.671,5,0,1
269,"kospi",22.851,-2.933,"Finance",187,55.669,5.03,1,0
270,"kospi",581.404,31.597,"TranspEquip",1097,55.643,21.06,1,0
271,"kospi",600.967,27.524,"Chem",467,55.606,12.02,1,0
272,"kospi",1134.528,-23.164,"Constr",984,55.598,7.08,1,0
273,"kospi",545.15,1.141,"Service",1055,55.581,5.07,1,0
274,"kospi",647.612,3.465,"Steel",422,55.517,7.06,1,0
275,"kosdaq",421.461,97.38,"Distn",257,55.464,10.06,0,1
276,"kospi",25511.199,-85.792,"Distn",3912,55.414,7.06,1,0
277,"kospi",636.147,-429.562,"Constr",397,55.305,15.07,1,0
278,"kosdaq",76.836,-114.593,"ElecElectron",497,55.3,4.07,0,1
279,"kospi",258.489,-74.306,"NonMetal",420,55.229,20,1,0
280,"kosdaq",54.907,3.426,"ElecElectron",105,55.162,3.04,0,1
281,"kosdaq",60.325,0.225,"Steel",118,55.148,15.07,0,1
282,"kosdaq",150.288,-5.8,"Service",1258,55.134,11.09,0,1
283,"kosdaq",49.043,1.506,"ElecElectron",66,55.091,3.05,0,1
284,"kosdaq",96.502,-1.865,"ElecElectron",98,55.08,5.06,0,1
285,"kospi",110.931,2.426,"Others",214,55.005,4.09,1,0
286,"kospi",1006.608,92.163,"Service",5152,55,8.03,1,0
287,"kosdaq",8.455,-1.238,"Distn",12,55,4.09,0,1
288,"kospi",1780.032,-45.954,"Steel",940,54.961,14,1,0
289,"kospi",180.764,1.32,"Service",1185,54.906,8.02,1,0
290,"kospi",44.303,21.783,"Service",264,54.883,4.08,1,0
291,"kospi",504.649,9.527,"Chem",411,54.873,13,1,0
292,"kospi",750.97,47.851,"ElecElectron",664,54.837,9.05,1,0
293,"kospi",762.793,69.573,"Pharm",1538,54.831,9.1,1,0
294,"kospi",113.76,7.101,"Pharm",265,54.641,12.05,1,0
295,"kospi",4116.767,-23.863,"Distn",375,54.565,2.08,1,0
296,"kosdaq",41.816,-4.834,"ElecElectron",43,54.54,5.06,0,1
297,"kospi",7.938,5.848,"Service",11,54.518,4.04,1,0
298,"kosdaq",347.647,52.828,"Steel",355,54.502,13,0,1
299,"kospi",346.03,18.058,"Pharm",1341,54.495,7.08,1,0
300,"kospi",347.706,13.811,"Service",469,54.449,15.03,1,0
301,"kosdaq",611.755,-69.547,"NonMetal",849,54.36,16.03,0,1
302,"kospi",53.39,7.215,"Service",252,54.358,6.04,1,0
303,"kospi",916.574,13.216,"Constr",703,54.339,9.02,1,0
304,"kospi",1333.799,13.148,"NonMetal",1015,54.309,17.04,1,0
305,"kosdaq",145.373,1.03,"Service",948,54.253,4.1,0,1
306,"kospi",11.631,8.087,"Service",26,54.231,10.08,1,0
307,"kosdaq",3.513,-7.167,"ElecElectron",13,54.231,4.07,0,1
308,"kospi",737.389,57.273,"ElecElectron",844,54.132,12.01,1,0
309,"kospi",332.12,16.384,"Machinary",231,53.949,11.08,1,0
310,"kospi",1980.761,13.082,"TranspEquip",2634,53.856,14.03,1,0
311,"kospi",314.646,5.768,"Pharm",750,53.834,7.07,1,0
312,"kosdaq",72.602,5.488,"ElecElectron",37,53.817,3.07,0,1
313,"kosdaq",852.764,-28.503,"Chem",836,53.816,15.05,0,1
314,"kospi",244.893,8.713,"NonMetal",284,53.792,12,1,0
315,"kosdaq",6.258,1.505,"Finance",18,53.756,3.04,0,1
316,"kospi",466.812,-85.699,"Constr",346,53.621,7.01,1,0
317,"kospi",388.476,4.037,"Chem",648,53.612,10.06,1,0
318,"kospi",636.554,11.19,"PaperWood",499,53.597,14.06,1,0
319,"kospi",599.827,1.307,"Constr",426,53.554,7.01,1,0
320,"kospi",3342.328,126.81,"Chem",4979,53.541,16.02,1,0
321,"kosdaq",16.623,0.437,"Service",65,53.508,4,0,1
322,"kospi",93.145,7.604,"Machinary",189,53.476,13.07,1,0
323,"kosdaq",1010.563,66.697,"TranspEquip",1226,53.4,7.04,0,1
324,"kospi",1482.494,51.336,"PaperWood",890,53.372,15.02,1,0
325,"kosdaq",59.317,-7.782,"ElecElectron",120,53.325,5.08,0,1
326,"kosdaq",51.911,15.364,"Service",73,53.262,3,0,1
327,"kospi",185.702,10.638,"Pharm",564,53.218,10.02,1,0
328,"kosdaq",115.116,-2.884,"Machinary",194,53.119,20.05,0,1
329,"kosdaq",64.401,-3.587,"ElecElectron",108,53.08,4.03,0,1
330,"kospi",1523.027,7.378,"Constr",1593,53,6.08,1,0
331,"kospi",521.28,1.583,"NonMetal",623,53,14.09,1,0
332,"kospi",397.623,8.124,"Pharm",1441,53,7.08,1,0
333,"kosdaq",262.541,5.254,"Steel",161,52.907,4,0,1
334,"kosdaq",53.109,3.193,"ElecElectron",129,52.899,4.06,0,1
335,"kospi",76.753,7.387,"Finance",208,52.705,10,1,0
336,"kospi",30.843,37.284,"Service",108,52.676,7.07,1,0
337,"kosdaq",276.342,72.099,"Service",563,52.648,2.03,0,1
338,"kospi",7.758,-5.658,"Service",8,52.625,3.05,1,0
339,"kospi",601.426,-1327.958,"Service",77,52.61,7.09,1,0
340,"kosdaq",1077.33,122.631,"Service",851,52.596,6.01,0,1
341,"kospi",235.099,9.649,"TranspEquip",637,52.544,13,1,0
342,"kospi",485.103,2.081,"Warehouse",931,52.448,12.09,1,0
343,"kospi",1476.191,39.325,"Chem",1864,52.43,10.11,1,0
344,"kosdaq",58.625,-2.553,"ElecElectron",154,52.416,3.07,0,1
345,"kosdaq",28.715,-2.169,"Service",118,52.398,2.09,0,1
346,"kospi",2873.047,406.592,"Chem",4766,52.323,10.06,1,0
347,"kosdaq",37.137,0.459,"Service",100,52.212,4.07,0,1
348,"kosdaq",210.429,10.911,"Chem",185,52.1,10.01,0,1
349,"kospi",2510.394,275.5,"Chem",4724,52.07,8.03,1,0
350,"kospi",4.812,2.89,"Service",15,52.067,8,1,0
351,"kospi",195.34,-36.41,"Finance",72,52,9.01,1,0
352,"kospi",134.014,9.555,"Pharm",523,52,6,1,0
353,"kosdaq",104.069,1.039,"Constr",129,51.957,7,0,1
354,"kospi",438.641,28.895,"Steel",243,51.943,12.01,1,0
355,"kosdaq",201.871,6.659,"Chem",140,51.93,11.09,0,1
356,"kospi",1639.161,37.509,"Constr",1436,51.883,7.04,1,0
357,"kospi",425.058,38.795,"Chem",247,51.863,4.01,1,0
358,"kospi",331.815,26.678,"Pharm",749,51.849,8,1,0
359,"kospi",461.246,25.709,"Pharm",1499,51.763,6.09,1,0
360,"kospi",191.908,1.08,"Chem",112,51.705,11.09,1,0
361,"kosdaq",35.455,6.842,"ElecElectron",152,51.664,8,0,1
362,"kosdaq",356.88,33.192,"Steel",439,51.613,8.08,0,1
363,"kosdaq",121.969,11.76,"ElecElectron",225,51.603,6.02,0,1
364,"kosdaq",428.094,77.938,"Service",1402,51.59,4.02,0,1
365,"kospi",1499.639,-420.974,"Constr",1353,51.536,8.03,1,0
366,"kospi",2144.64,207.796,"Chem",3682,51.277,9.01,1,0
367,"kospi",498.489,27.342,"NonMetal",561,51.242,19.05,1,0
368,"kospi",228.669,3.313,"Steel",198,51.201,17,1,0
369,"kospi",758.167,24.274,"TranspEquip",965,51.189,18.01,1,0
370,"kospi",333.187,11.921,"Chem",127,51.172,8,1,0
371,"kospi",596.44,28.091,"PaperWood",614,51.137,12.02,1,0
372,"kospi",611.771,27.614,"TranspEquip",762,51.133,11.09,1,0
373,"kosdaq",48.79,4.132,"Distn",31,51.129,4.03,0,1
374,"kosdaq",60.243,8.39,"TranspEquip",96,51.112,6.08,0,1
375,"kosdaq",31.824,8.087,"Service",61,51.095,11.03,0,1
376,"kosdaq",123.526,17.293,"Warehouse",351,50.991,9.06,0,1
377,"kosdaq",118.459,8.632,"Constr",265,50.963,3.07,0,1
378,"kosdaq",348.955,171.621,"Pharm",865,50.848,3.01,0,1
379,"kospi",979.742,12.795,"ElecGas",405,50.763,13.01,1,0
380,"kospi",230.708,9.088,"Machinary",195,50.747,7.08,1,0
381,"kosdaq",33.544,-6.357,"Service",282,50.741,3.09,0,1
382,"kospi",107.222,15.797,"Pharm",399,50.679,6.06,1,0
383,"kosdaq",51.425,0.614,"PaperWood",117,50.653,10.06,0,1
384,"kosdaq",56.432,-29.289,"Machinary",219,50.521,3.03,0,1
385,"kospi",233.362,3.016,"Chem",299,50.482,13.08,1,0
386,"kosdaq",18.628,-3.657,"ElecElectron",55,50.46,3.08,0,1
387,"kosdaq",59.381,10.192,"ElecElectron",237,50.439,4.05,0,1
388,"kosdaq",162.916,17.313,"ElecElectron",251,50.398,4.08,0,1
389,"kosdaq",352.156,6.604,"Steel",291,50.329,10.08,0,1
